run,arm,seed,step,train_win_rate,difficulty
dbr-fix10-s27,dbr-fix10,27,4457472,0.7,-1.0
dbr-fix10-s27,dbr-fix10,27,4488192,0.65,-1.0
dbr-fix10-s27,dbr-fix10,27,4518912,0.62,-1.0
dbr-fix10-s27,dbr-fix10,27,4549632,0.68,-1.0
dbr-fix10-s27,dbr-fix10,27,4580352,0.6,-1.0
dbr-fix10-s27,dbr-fix10,27,4611072,0.63,-1.0
dbr-fix10-s27,dbr-fix10,27,4641792,0.64,-1.0
dbr-fix10-s27,dbr-fix10,27,4672512,0.65,-1.0
dbr-fix10-s27,dbr-fix10,27,4703232,0.62,-1.0
dbr-fix10-s27,dbr-fix10,27,4733952,0.78,-1.0
dbr-fix10-s27,dbr-fix10,27,4764672,0.7,-1.0
dbr-fix10-s27,dbr-fix10,27,4795392,0.62,-1.0
dbr-fix10-s27,dbr-fix10,27,4826112,0.71,-1.0
dbr-fix10-s27,dbr-fix10,27,4856832,0.65,-1.0
dbr-fix10-s27,dbr-fix10,27,4887552,0.63,-1.0
dbr-fix10-s27,dbr-fix10,27,4918272,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,4948992,0.67,-1.0
dbr-fix10-s27,dbr-fix10,27,4979712,0.7,-1.0
dbr-fix10-s27,dbr-fix10,27,5010432,0.57,-1.0
dbr-fix10-s27,dbr-fix10,27,5041152,0.58,-1.0
dbr-fix10-s27,dbr-fix10,27,5071872,0.7,-1.0
dbr-fix10-s27,dbr-fix10,27,5102592,0.66,-1.0
dbr-fix10-s27,dbr-fix10,27,5133312,0.71,-1.0
dbr-fix10-s27,dbr-fix10,27,5164032,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5194752,0.65,-1.0
dbr-fix10-s27,dbr-fix10,27,5225472,0.71,-1.0
dbr-fix10-s27,dbr-fix10,27,5256192,0.76,-1.0
dbr-fix10-s27,dbr-fix10,27,5286912,0.69,-1.0
dbr-fix10-s27,dbr-fix10,27,5317632,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5348352,0.8,-1.0
dbr-fix10-s27,dbr-fix10,27,5379072,0.74,-1.0
dbr-fix10-s27,dbr-fix10,27,5409792,0.68,-1.0
dbr-fix10-s27,dbr-fix10,27,5440512,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5471232,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5501952,0.73,-1.0
dbr-fix10-s27,dbr-fix10,27,5532672,0.84,-1.0
dbr-fix10-s27,dbr-fix10,27,5563392,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5594112,0.74,-1.0
dbr-fix10-s27,dbr-fix10,27,5624832,0.74,-1.0
dbr-fix10-s27,dbr-fix10,27,5655552,0.7,-1.0
dbr-fix10-s27,dbr-fix10,27,5686272,0.72,-1.0
dbr-fix10-s27,dbr-fix10,27,5716992,0.75,-1.0
dbr-fix10-s27,dbr-fix10,27,5747712,0.74,-1.0
dbr-fix10-s27,dbr-fix10,27,5778432,0.81,-1.0
