run,arm,seed,step,train_win_rate,difficulty
cap015-b1020-s27,cap015-b1020,27,4457472,0.7,-1.0
cap015-b1020-s27,cap015-b1020,27,4488192,0.59,-0.546
cap015-b1020-s27,cap015-b1020,27,4518912,0.44,-0.196
cap015-b1020-s27,cap015-b1020,27,4549632,0.31,0.081
cap015-b1020-s27,cap015-b1020,27,4580352,0.2,0.146
cap015-b1020-s27,cap015-b1020,27,4611072,0.1,0.146
cap015-b1020-s27,cap015-b1020,27,4641792,0.13,0.138
cap015-b1020-s27,cap015-b1020,27,4672512,0.17,0.138
cap015-b1020-s27,cap015-b1020,27,4703232,0.17,0.15
cap015-b1020-s27,cap015-b1020,27,4733952,0.12,0.15
cap015-b1020-s27,cap015-b1020,27,4764672,0.22,0.144
cap015-b1020-s27,cap015-b1020,27,4795392,0.14,0.15
cap015-b1020-s27,cap015-b1020,27,4826112,0.22,0.15
cap015-b1020-s27,cap015-b1020,27,4856832,0.09,0.136
cap015-b1020-s27,cap015-b1020,27,4887552,0.15,0.136
cap015-b1020-s27,cap015-b1020,27,4918272,0.13,0.142
cap015-b1020-s27,cap015-b1020,27,4948992,0.11,0.135
cap015-b1020-s27,cap015-b1020,27,4979712,0.21,0.143
cap015-b1020-s27,cap015-b1020,27,5010432,0.14,0.149
cap015-b1020-s27,cap015-b1020,27,5041152,0.22,0.149
cap015-b1020-s27,cap015-b1020,27,5071872,0.19,0.15
cap015-b1020-s27,cap015-b1020,27,5102592,0.09,0.15
cap015-b1020-s27,cap015-b1020,27,5133312,0.12,0.13
cap015-b1020-s27,cap015-b1020,27,5164032,0.16,0.13
cap015-b1020-s27,cap015-b1020,27,5194752,0.18,0.13
cap015-b1020-s27,cap015-b1020,27,5225472,0.16,0.138
cap015-b1020-s27,cap015-b1020,27,5256192,0.13,0.15
cap015-b1020-s27,cap015-b1020,27,5286912,0.16,0.15
cap015-b1020-s27,cap015-b1020,27,5317632,0.12,0.15
cap015-b1020-s27,cap015-b1020,27,5348352,0.13,0.15
cap015-b1020-s27,cap015-b1020,27,5379072,0.14,0.144
cap015-b1020-s27,cap015-b1020,27,5409792,0.14,0.131
cap015-b1020-s27,cap015-b1020,27,5440512,0.18,0.131
cap015-b1020-s27,cap015-b1020,27,5471232,0.11,0.138
cap015-b1020-s27,cap015-b1020,27,5501952,0.15,0.15
cap015-b1020-s27,cap015-b1020,27,5532672,0.19,0.15
cap015-b1020-s27,cap015-b1020,27,5563392,0.12,0.15
cap015-b1020-s27,cap015-b1020,27,5594112,0.17,0.15
cap015-b1020-s27,cap015-b1020,27,5624832,0.17,0.15
cap015-b1020-s27,cap015-b1020,27,5655552,0.22,0.15
cap015-b1020-s27,cap015-b1020,27,5686272,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,5716992,0.12,0.15
cap015-b1020-s27,cap015-b1020,27,5747712,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,5778432,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,5809152,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,5839872,0.14,0.15
cap015-b1020-s27,cap015-b1020,27,5870592,0.16,0.15
cap015-b1020-s27,cap015-b1020,27,5901312,0.17,0.15
cap015-b1020-s27,cap015-b1020,27,5932032,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,5962752,0.16,0.15
cap015-b1020-s27,cap015-b1020,27,5993472,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,6024192,0.12,0.15
cap015-b1020-s27,cap015-b1020,27,6054912,0.15,0.15
cap015-b1020-s27,cap015-b1020,27,6085632,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,6116352,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,6147072,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,6177792,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,6208512,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6239232,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,6269952,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6300672,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6331392,0.29,0.15
cap015-b1020-s27,cap015-b1020,27,6362112,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,6392832,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,6423552,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,6454272,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,6484992,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,6515712,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,6546432,0.19,0.15
cap015-b1020-s27,cap015-b1020,27,6577152,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,6607872,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,6638592,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,6669312,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6700032,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,6730752,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,6761472,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6792192,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,6822912,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,6853632,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,6884352,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,6915072,0.29,0.15
cap015-b1020-s27,cap015-b1020,27,6945792,0.22,0.15
cap015-b1020-s27,cap015-b1020,27,6976512,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,7007232,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,7037952,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,7068672,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,7099392,0.19,0.15
cap015-b1020-s27,cap015-b1020,27,7130112,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,7160832,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,7191552,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,7222272,0.29,0.15
cap015-b1020-s27,cap015-b1020,27,7252992,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,7283712,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,7314432,0.17,0.15
cap015-b1020-s27,cap015-b1020,27,7345152,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,7375872,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,7406592,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,7437312,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,7468032,0.22,0.15
cap015-b1020-s27,cap015-b1020,27,7498752,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,7529472,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,7560192,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,7590912,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,7621632,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,7652352,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,7683072,0.37,0.15
cap015-b1020-s27,cap015-b1020,27,7713792,0.24,0.15
cap015-b1020-s27,cap015-b1020,27,7744512,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,7775232,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,7805952,0.2,0.15
cap015-b1020-s27,cap015-b1020,27,7836672,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,7867392,0.22,0.15
cap015-b1020-s27,cap015-b1020,27,7898112,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,7928832,0.32,0.15
cap015-b1020-s27,cap015-b1020,27,7959552,0.21,0.15
cap015-b1020-s27,cap015-b1020,27,7990272,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,8020992,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,8051712,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,8082432,0.29,0.15
cap015-b1020-s27,cap015-b1020,27,8113152,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,8143872,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,8174592,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,8205312,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,8236032,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,8266752,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,8297472,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,8328192,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,8358912,0.16,0.15
cap015-b1020-s27,cap015-b1020,27,8389632,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,8420352,0.32,0.15
cap015-b1020-s27,cap015-b1020,27,8451072,0.26,0.15
cap015-b1020-s27,cap015-b1020,27,8481792,0.19,0.15
cap015-b1020-s27,cap015-b1020,27,8512512,0.23,0.15
cap015-b1020-s27,cap015-b1020,27,8543232,0.18,0.15
cap015-b1020-s27,cap015-b1020,27,8573952,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,8604672,0.32,0.15
cap015-b1020-s27,cap015-b1020,27,8635392,0.28,0.15
cap015-b1020-s27,cap015-b1020,27,8666112,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,8696832,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,8727552,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,8758272,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,8788992,0.39,0.15
cap015-b1020-s27,cap015-b1020,27,8819712,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,8850432,0.41,0.15
cap015-b1020-s27,cap015-b1020,27,8881152,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,8911872,0.34,0.15
cap015-b1020-s27,cap015-b1020,27,8942592,0.27,0.15
cap015-b1020-s27,cap015-b1020,27,8973312,0.36,0.15
cap015-b1020-s27,cap015-b1020,27,9004032,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,9034752,0.36,0.15
cap015-b1020-s27,cap015-b1020,27,9065472,0.29,0.15
cap015-b1020-s27,cap015-b1020,27,9096192,0.33,0.15
cap015-b1020-s27,cap015-b1020,27,9126912,0.3,0.15
cap015-b1020-s27,cap015-b1020,27,9157632,0.39,0.15
cap015-b1020-s27,cap015-b1020,27,9188352,0.37,0.15
cap015-b1020-s27,cap015-b1020,27,9219072,0.32,0.15
cap015-b1020-s27,cap015-b1020,27,9249792,0.31,0.15
cap015-b1020-s27,cap015-b1020,27,9280512,0.38,0.15
cap015-b1020-s27,cap015-b1020,27,9311232,0.25,0.15
cap015-b1020-s27,cap015-b1020,27,9341952,0.35,0.15
