run,arm,seed,step,train_win_rate,difficulty
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,3072,0.01,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,33792,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,64512,0.0,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,95232,0.0,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,125952,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,156672,0.03,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,187392,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,218112,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,248832,0.03,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,279552,0.07,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,310272,0.03,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,340992,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,371712,0.04,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,402432,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,433152,0.04,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,463872,0.09,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,494592,0.04,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,525312,0.02,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,556032,0.04,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,586752,0.08,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,617472,0.07,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,648192,0.03,-1.0
sw1b-lr3e4-ent006-on,sw1b-lr3e4-ent006-on,27,678912,0.05,-1.0
