run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w11-ent0003-s51,w11-ent0003,51,3072,0.0,0.423,-1.0,,,,,,,
w11-ent0003-s51,w11-ent0003,51,33792,0.0,0.445,-1.0,-0.975,0.0,0.0,0.0,0.0,0.96,0.933
w11-ent0003-s51,w11-ent0003,51,64512,0.02,0.475,-1.0,-0.95,0.0,0.0,0.0,0.0,0.978,0.919
w11-ent0003-s51,w11-ent0003,51,95232,0.0,0.508,-1.0,-0.975,0.0,0.0,0.0,0.0,0.982,0.905
w11-ent0003-s51,w11-ent0003,51,125952,0.01,0.543,-1.0,-0.9791,0.0,0.0,0.0,0.0,0.983,0.899
w11-ent0003-s51,w11-ent0003,51,156672,0.01,0.523,-1.0,-0.9518,0.0,0.0,0.0,0.0,0.984,0.894
w11-ent0003-s51,w11-ent0003,51,187392,0.04,0.562,-1.0,-0.925,0.0,0.0,0.0,0.0,0.988,0.889
w11-ent0003-s51,w11-ent0003,51,218112,0.03,0.616,-1.0,-0.95,0.0,0.0,0.0,0.0,0.99,0.887
w11-ent0003-s51,w11-ent0003,51,248832,0.05,0.643,-1.0,-0.9559,0.0,0.0,0.0,0.0,0.992,0.888
w11-ent0003-s51,w11-ent0003,51,279552,0.04,0.595,-1.0,-0.8887,0.0,0.0,0.0,0.0,0.994,0.888
w11-ent0003-s51,w11-ent0003,51,310272,0.07,0.638,-1.0,-0.8342,0.0,0.0,0.0,0.0,0.997,0.889
w11-ent0003-s51,w11-ent0003,51,340992,0.07,0.634,-1.0,-0.8772,0.0,0.0,0.0,0.0,0.999,0.89
w11-ent0003-s51,w11-ent0003,51,371712,0.02,0.608,-1.0,-0.7596,0.0,0.0,0.0,0.0,0.999,0.89
w11-ent0003-s51,w11-ent0003,51,402432,0.03,0.621,-1.0,-0.8595,0.0,0.0,0.0,0.0,0.999,0.891
w11-ent0003-s51,w11-ent0003,51,433152,0.09,0.671,-1.0,-0.8306,0.0,0.0,0.0,0.0,0.999,0.891
w11-ent0003-s51,w11-ent0003,51,463872,0.07,0.694,-1.0,-0.8604,0.0,0.0,0.0,0.0,0.999,0.891
w11-ent0003-s51,w11-ent0003,51,494592,0.06,0.648,-1.0,-0.8551,0.0,0.0,0.0,0.0,0.999,0.892
w11-ent0003-s51,w11-ent0003,51,525312,0.09,0.682,-1.0,-0.8034,0.0,0.0,0.0,0.0,0.999,0.894
w11-ent0003-s51,w11-ent0003,51,556032,0.18,0.798,-1.0,-0.8841,0.0,0.0,0.0,0.0,0.999,0.895
w11-ent0003-s51,w11-ent0003,51,586752,0.09,0.705,-1.0,-0.8606,0.0,0.0,0.0,0.0,0.999,0.896
w11-ent0003-s51,w11-ent0003,51,617472,0.11,0.719,-1.0,-0.8322,0.0,0.0,0.0,0.0,0.999,0.896
w11-ent0003-s51,w11-ent0003,51,648192,0.13,0.739,-1.0,-0.7805,0.0,0.0,0.0,0.0,0.999,0.897
w11-ent0003-s51,w11-ent0003,51,678912,0.12,0.748,-1.0,-0.7596,0.0,0.0,0.0,0.0,0.999,0.897
w11-ent0003-s51,w11-ent0003,51,709632,0.08,0.721,-1.0,-0.6671,0.0,0.0,0.0,0.0,0.999,0.898
w11-ent0003-s51,w11-ent0003,51,740352,0.09,0.693,-1.0,-0.6731,0.0,0.0,0.0,0.0,0.999,0.898
w11-ent0003-s51,w11-ent0003,51,771072,0.08,0.697,-1.0,-0.8785,0.0,0.0,0.0,0.0,0.999,0.899
w11-ent0003-s51,w11-ent0003,51,801792,0.1,0.686,-1.0,-0.7894,0.0,0.0,0.0,0.0,1.0,0.9
w11-ent0003-s51,w11-ent0003,51,832512,0.14,0.756,-1.0,-0.8106,0.0,0.0,0.0,0.0,1.0,0.901
w11-ent0003-s51,w11-ent0003,51,863232,0.12,0.742,-1.0,-0.6885,0.0,0.0,0.0,0.0,1.0,0.902
w11-ent0003-s51,w11-ent0003,51,893952,0.11,0.737,-1.0,-0.7399,0.0,0.0,0.0,0.0,1.0,0.903
w11-ent0003-s51,w11-ent0003,51,924672,0.14,0.788,-1.0,-0.7631,0.0,0.0,0.0,0.0,1.0,0.904
w11-ent0003-s51,w11-ent0003,51,955392,0.14,0.789,-1.0,-0.746,0.0,0.0,0.0,0.0,1.0,0.904
w11-ent0003-s51,w11-ent0003,51,986112,0.13,0.743,-1.0,-0.6286,0.0,0.0,0.0,0.0,1.0,0.905
w11-ent0003-s51,w11-ent0003,51,1016832,0.2,0.801,-1.0,-0.6551,0.0,0.0,0.0,0.0,1.0,0.905
w11-ent0003-s51,w11-ent0003,51,1047552,0.11,0.742,-1.0,-0.8091,0.0,0.0,0.0,0.0,1.0,0.905
w11-ent0003-s51,w11-ent0003,51,1078272,0.1,0.751,-1.0,-0.6907,0.0,0.0,0.0,0.0,1.0,0.906
w11-ent0003-s51,w11-ent0003,51,1108992,0.12,0.731,-1.0,-0.7323,0.0,0.0,0.0,0.0,1.0,0.906
w11-ent0003-s51,w11-ent0003,51,1139712,0.08,0.713,-1.0,-0.8064,0.0,0.0,0.0,0.0,1.0,0.906
w11-ent0003-s51,w11-ent0003,51,1170432,0.15,0.756,-1.0,-0.817,0.0,0.0,0.0,0.0,1.0,0.906
w11-ent0003-s51,w11-ent0003,51,1201152,0.1,0.719,-1.0,-0.7064,0.0,0.0,0.0,0.0,1.0,0.906
w11-ent0003-s51,w11-ent0003,51,1231872,0.19,0.813,-1.0,-0.5787,0.0,0.0,0.0,0.0,1.0,0.906
