run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,3072,0.01,,-1.0,,,,,,,
director-on-s31,director-on,31,33792,0.0,,-1.0,,,,,,,
director-on-s31,director-on,31,64512,0.01,,-1.0,,,,,,,
director-on-s31,director-on,31,95232,0.0,,-1.0,,,,,,,
director-on-s31,director-on,31,125952,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,156672,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,187392,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,218112,0.01,,-1.0,,,,,,,
director-on-s31,director-on,31,248832,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,279552,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,310272,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,340992,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,371712,0.01,,-1.0,,,,,,,
director-on-s31,director-on,31,402432,0.08,,-1.0,,,,,,,
director-on-s31,director-on,31,433152,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,463872,0.07,,-1.0,,,,,,,
director-on-s31,director-on,31,494592,0.07,,-1.0,,,,,,,
director-on-s31,director-on,31,525312,0.07,,-1.0,,,,,,,
director-on-s31,director-on,31,556032,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,586752,0.04,,-1.0,,,,,,,
director-on-s31,director-on,31,617472,0.05,,-1.0,,,,,,,
director-on-s31,director-on,31,648192,0.03,,-1.0,,,,,,,
director-on-s31,director-on,31,678912,0.05,,-1.0,,,,,,,
director-on-s31,director-on,31,709632,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,740352,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,771072,0.14,,-1.0,,,,,,,
director-on-s31,director-on,31,801792,0.17,,-1.0,,,,,,,
director-on-s31,director-on,31,832512,0.11,,-1.0,,,,,,,
director-on-s31,director-on,31,863232,0.09,,-1.0,,,,,,,
director-on-s31,director-on,31,893952,0.12,,-1.0,,,,,,,
director-on-s31,director-on,31,924672,0.09,,-1.0,,,,,,,
director-on-s31,director-on,31,955392,0.06,,-1.0,,,,,,,
director-on-s31,director-on,31,986112,0.08,,-1.0,,,,,,,
director-on-s31,director-on,31,1016832,0.2,,-1.0,,,,,,,
director-on-s31,director-on,31,1047552,0.11,,-1.0,,,,,,,
director-on-s31,director-on,31,1078272,0.09,,-1.0,,,,,,,
director-on-s31,director-on,31,1108992,0.09,,-1.0,,,,,,,
director-on-s31,director-on,31,1139712,0.1,,-1.0,,,,,,,
director-on-s31,director-on,31,1170432,0.09,,-1.0,,,,,,,
director-on-s31,director-on,31,1201152,0.15,,-1.0,,,,,,,
director-on-s31,director-on,31,1231872,0.13,,-1.0,,,,,,,
director-on-s31,director-on,31,1262592,0.13,,-1.0,,,,,,,
director-on-s31,director-on,31,1293312,0.12,,-1.0,,,,,,,
director-on-s31,director-on,31,1324032,0.12,,-1.0,,,,,,,
director-on-s31,director-on,31,1354752,0.07,,-1.0,,,,,,,
director-on-s31,director-on,31,1385472,0.18,,-1.0,,,,,,,
director-on-s31,director-on,31,1416192,0.12,,-1.0,,,,,,,
director-on-s31,director-on,31,1446912,0.11,,-1.0,,,,,,,
director-on-s31,director-on,31,1477632,0.13,,-1.0,,,,,,,
director-on-s31,director-on,31,1508352,0.11,,-1.0,,,,,,,
director-on-s31,director-on,31,1539072,0.16,,-1.0,,,,,,,
director-on-s31,director-on,31,1569792,0.11,,-1.0,,,,,,,
director-on-s31,director-on,31,1600512,0.2,,-1.0,,,,,,,
director-on-s31,director-on,31,1631232,0.13,,-1.0,,,,,,,
director-on-s31,director-on,31,1661952,0.22,,-1.0,,,,,,,
director-on-s31,director-on,31,1692672,0.17,,-1.0,,,,,,,
director-on-s31,director-on,31,1723392,0.14,,-1.0,,,,,,,
director-on-s31,director-on,31,1754112,0.21,,-1.0,,,,,,,
director-on-s31,director-on,31,1784832,0.15,,-1.0,,,,,,,
director-on-s31,director-on,31,1815552,0.14,,-1.0,,,,,,,
director-on-s31,director-on,31,1846272,0.18,,-1.0,,,,,,,
director-on-s31,director-on,31,1876992,0.2,,-1.0,,,,,,,
director-on-s31,director-on,31,1907712,0.24,,-1.0,,,,,,,
director-on-s31,director-on,31,1938432,0.17,,-1.0,,,,,,,
director-on-s31,director-on,31,1969152,0.15,,-1.0,,,,,,,
director-on-s31,director-on,31,1999872,0.19,,-1.0,,,,,,,
director-on-s31,director-on,31,2030592,0.23,,-1.0,,,,,,,
director-on-s31,director-on,31,2061312,0.12,,-1.0,,,,,,,
director-on-s31,director-on,31,2092032,0.17,,-1.0,,,,,,,
director-on-s31,director-on,31,2122752,0.14,,-1.0,,,,,,,
director-on-s31,director-on,31,2153472,0.22,,-1.0,,,,,,,
director-on-s31,director-on,31,2184192,0.23,,-1.0,,,,,,,
director-on-s31,director-on,31,2214912,0.22,,-1.0,,,,,,,
director-on-s31,director-on,31,2245632,0.25,,-1.0,,,,,,,
director-on-s31,director-on,31,2276352,0.22,,-1.0,,,,,,,
director-on-s31,director-on,31,2307072,0.28,,-1.0,,,,,,,
director-on-s31,director-on,31,2337792,0.26,,-1.0,,,,,,,
director-on-s31,director-on,31,2368512,0.27,,-1.0,,,,,,,
director-on-s31,director-on,31,2399232,0.25,,-1.0,,,,,,,
director-on-s31,director-on,31,2429952,0.26,,-1.0,,,,,,,
director-on-s31,director-on,31,2460672,0.29,,-1.0,,,,,,,
director-on-s31,director-on,31,2491392,0.21,,-1.0,,,,,,,
director-on-s31,director-on,31,2522112,0.24,,-1.0,,,,,,,
director-on-s31,director-on,31,2552832,0.27,,-1.0,,,,,,,
director-on-s31,director-on,31,2583552,0.3,,-1.0,,,,,,,
director-on-s31,director-on,31,2614272,0.25,,-1.0,,,,,,,
director-on-s31,director-on,31,2644992,0.33,,-1.0,,,,,,,
director-on-s31,director-on,31,2675712,0.21,,-1.0,,,,,,,
director-on-s31,director-on,31,2706432,0.29,,-1.0,,,,,,,
director-on-s31,director-on,31,2737152,0.33,,-1.0,,,,,,,
director-on-s31,director-on,31,2767872,0.27,,-1.0,,,,,,,
director-on-s31,director-on,31,2798592,0.32,,-1.0,,,,,,,
director-on-s31,director-on,31,2829312,0.32,,-1.0,,,,,,,
director-on-s31,director-on,31,2860032,0.26,,-1.0,,,,,,,
director-on-s31,director-on,31,2890752,0.34,,-1.0,,,,,,,
director-on-s31,director-on,31,2921472,0.31,,-1.0,,,,,,,
director-on-s31,director-on,31,2952192,0.29,,-1.0,,,,,,,
