run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-shp-cur-s71,w10s-shp-cur,71,3072,0.0,0.419,-1.0,,,,,,,
w10s-shp-cur-s71,w10s-shp-cur,71,33792,0.01,0.472,-1.0,-1.0,0.0734,0.0002,-0.0182,0.0177,0.968,0.94
w10s-shp-cur-s71,w10s-shp-cur,71,64512,0.02,0.493,-1.0,-0.95,0.0686,0.0002,-0.0181,0.0145,0.995,0.946
w10s-shp-cur-s71,w10s-shp-cur,71,95232,0.02,0.525,-1.0,-1.0,0.0733,0.0002,-0.0165,0.0122,1.0,0.948
w10s-shp-cur-s71,w10s-shp-cur,71,125952,0.02,0.554,-1.0,-0.927,0.0717,0.0002,-0.0171,0.0109,1.0,0.947
w10s-shp-cur-s71,w10s-shp-cur,71,156672,0.02,0.591,-1.0,-0.9527,0.0693,0.0002,-0.0159,0.0103,1.0,0.947
w10s-shp-cur-s71,w10s-shp-cur,71,187392,0.01,0.522,-1.0,-0.9279,0.0734,0.0002,-0.018,0.0084,1.0,0.948
w10s-shp-cur-s71,w10s-shp-cur,71,218112,0.05,0.58,-1.0,-0.925,0.0749,0.0002,-0.0167,0.0082,1.0,0.949
w10s-shp-cur-s71,w10s-shp-cur,71,248832,0.04,0.574,-1.0,-0.9311,0.0705,0.0002,-0.0177,0.0084,1.0,0.949
w10s-shp-cur-s71,w10s-shp-cur,71,279552,0.02,0.554,-1.0,-0.9517,0.0708,0.0002,-0.017,0.007,1.0,0.95
w10s-shp-cur-s71,w10s-shp-cur,71,310272,0.03,0.54,-1.0,-0.9062,0.0723,0.0002,-0.0163,0.007,1.0,0.95
w10s-shp-cur-s71,w10s-shp-cur,71,340992,0.03,0.548,-1.0,-0.8786,0.0728,0.0002,-0.0187,0.007,1.0,0.951
w10s-shp-cur-s71,w10s-shp-cur,71,371712,0.03,0.594,-1.0,-0.9261,0.0717,0.0002,-0.0184,0.0064,1.0,0.951
w10s-shp-cur-s71,w10s-shp-cur,71,402432,0.05,0.571,-1.0,-0.9251,0.0705,0.0002,-0.0176,0.006,1.0,0.951
w10s-shp-cur-s71,w10s-shp-cur,71,433152,0.05,0.612,-1.0,-0.8305,0.0716,0.0002,-0.0185,0.0059,1.0,0.952
w10s-shp-cur-s71,w10s-shp-cur,71,463872,0.05,0.531,-1.0,-0.8801,0.0708,0.0002,-0.0175,0.006,1.0,0.953
w10s-shp-cur-s71,w10s-shp-cur,71,494592,0.05,0.582,-1.0,-0.8284,0.0748,0.0002,-0.0177,0.0053,1.0,0.953
w10s-shp-cur-s71,w10s-shp-cur,71,525312,0.04,0.57,-1.0,-0.879,0.0709,0.0002,-0.0188,0.0054,1.0,0.953
w10s-shp-cur-s71,w10s-shp-cur,71,556032,0.04,0.591,-1.0,-0.8348,0.0688,0.0001,-0.017,0.0051,1.0,0.953
w10s-shp-cur-s71,w10s-shp-cur,71,586752,0.12,0.619,-1.0,-0.8586,0.071,0.0001,-0.0182,0.0053,1.0,0.954
w10s-shp-cur-s71,w10s-shp-cur,71,617472,0.09,0.638,-1.0,-0.8102,0.0695,0.0002,-0.0171,0.0057,1.0,0.954
w10s-shp-cur-s71,w10s-shp-cur,71,648192,0.09,0.604,-1.0,-0.7861,0.0728,0.0002,-0.0176,0.0052,1.0,0.954
w10s-shp-cur-s71,w10s-shp-cur,71,678912,0.02,0.53,-1.0,-0.95,0.0754,0.0002,-0.0192,0.005,1.0,0.954
w10s-shp-cur-s71,w10s-shp-cur,71,709632,0.05,0.583,-1.0,-0.8792,0.0709,0.0002,-0.017,0.0048,1.0,0.954
w10s-shp-cur-s71,w10s-shp-cur,71,740352,0.08,0.624,-1.0,-0.7866,0.0715,0.0002,-0.018,0.0048,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,771072,0.1,0.54,-1.0,-0.95,0.0747,0.0002,-0.0186,0.0045,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,801792,0.04,0.546,-1.0,-0.8839,0.0705,0.0002,-0.0174,0.0045,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,832512,0.05,0.571,-1.0,-0.9778,0.0742,0.0002,-0.0186,0.004,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,863232,0.07,0.601,-1.0,-0.7583,0.0724,0.0002,-0.0191,0.0044,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,893952,0.01,0.568,-1.0,-0.7792,0.0762,0.0002,-0.0189,0.0043,1.0,0.955
w10s-shp-cur-s71,w10s-shp-cur,71,924672,0.09,0.626,-1.0,-0.712,0.0716,0.0002,-0.0184,0.0043,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,955392,0.1,0.626,-1.0,-0.7818,0.0691,0.0002,-0.0196,0.0043,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,986112,0.1,0.65,-1.0,-0.6017,0.0659,0.0002,-0.0188,0.0044,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,1016832,0.08,0.607,-1.0,-0.8274,0.0714,0.0002,-0.0171,0.0047,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,1047552,0.07,0.598,-1.0,-0.8787,0.0686,0.0002,-0.0193,0.0041,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,1078272,0.11,0.627,-1.0,-0.8564,0.07,0.0002,-0.0181,0.0042,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,1108992,0.08,0.644,-1.0,-0.9008,0.0727,0.0002,-0.0187,0.004,1.0,0.956
w10s-shp-cur-s71,w10s-shp-cur,71,1139712,0.06,0.594,-1.0,-0.8606,0.0709,0.0002,-0.017,0.004,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1170432,0.05,0.6,-1.0,-0.8818,0.0716,0.0002,-0.0195,0.0042,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1201152,0.08,0.594,-1.0,-0.7361,0.073,0.0002,-0.0175,0.0036,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1231872,0.12,0.667,-1.0,-0.7132,0.0702,0.0002,-0.0184,0.0038,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1262592,0.05,0.594,-1.0,-0.8312,0.0738,0.0002,-0.0191,0.004,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1293312,0.07,0.617,-1.0,-0.8785,0.0729,0.0002,-0.0186,0.0038,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1324032,0.08,0.603,-1.0,-0.9049,0.0736,0.0002,-0.0193,0.0036,1.0,0.957
w10s-shp-cur-s71,w10s-shp-cur,71,1354752,0.13,0.652,-1.0,-0.6644,0.0722,0.0002,-0.0175,0.0037,1.0,0.958
w10s-shp-cur-s71,w10s-shp-cur,71,1385472,0.11,0.64,-1.0,-0.6597,0.0699,0.0002,-0.0168,0.0037,1.0,0.958
w10s-shp-cur-s71,w10s-shp-cur,71,1416192,0.06,0.634,-1.0,-0.6688,0.0702,0.0002,-0.0186,0.0034,1.0,0.958
w10s-shp-cur-s71,w10s-shp-cur,71,1446912,0.1,0.632,-1.0,-0.8307,0.0711,0.0002,-0.0174,0.0032,1.0,0.958
w10s-shp-cur-s71,w10s-shp-cur,71,1477632,0.09,0.655,-1.0,-0.7825,0.0695,0.0002,-0.0169,0.0032,1.0,0.958
w10s-shp-cur-s71,w10s-shp-cur,71,1508352,0.08,0.563,-1.0,-0.6706,0.0695,0.0001,-0.0177,0.0033,1.0,0.958
