run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-off-s61,w10s-obj-off,61,3072,0.0,0.408,-1.0,,,,,,,
w10s-obj-off-s61,w10s-obj-off,61,33792,0.0,0.406,-1.0,-0.975,0.0,0.0,0.0,0.0,0.949,0.918
w10s-obj-off-s61,w10s-obj-off,61,64512,0.0,0.445,-1.0,-0.9783,0.0,0.0,0.0,0.0,0.978,0.909
w10s-obj-off-s61,w10s-obj-off,61,95232,0.0,0.458,-1.0,-0.956,0.0,0.0,0.0,0.0,0.99,0.901
w10s-obj-off-s61,w10s-obj-off,61,125952,0.0,0.493,-1.0,-0.975,0.0,0.0,0.0,0.0,0.994,0.899
w10s-obj-off-s61,w10s-obj-off,61,156672,0.01,0.498,-1.0,-0.9783,0.0,0.0,0.0,0.0,0.997,0.898
w10s-obj-off-s61,w10s-obj-off,61,187392,0.02,0.473,-1.0,-0.95,0.0,0.0,0.0,0.0,0.998,0.897
w10s-obj-off-s61,w10s-obj-off,61,218112,0.0,0.454,-1.0,-0.9795,0.0,0.0,0.0,0.0,0.999,0.897
w10s-obj-off-s61,w10s-obj-off,61,248832,0.01,0.529,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.897
w10s-obj-off-s61,w10s-obj-off,61,279552,0.02,0.505,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.896
w10s-obj-off-s61,w10s-obj-off,61,310272,0.01,0.507,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.897
w10s-obj-off-s61,w10s-obj-off,61,340992,0.01,0.503,-1.0,-0.975,0.0,0.0,0.0,0.0,1.0,0.898
w10s-obj-off-s61,w10s-obj-off,61,371712,0.0,0.496,-1.0,-0.9752,0.0,0.0,0.0,0.0,1.0,0.9
w10s-obj-off-s61,w10s-obj-off,61,402432,0.0,0.475,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.901
w10s-obj-off-s61,w10s-obj-off,61,433152,0.0,0.507,-1.0,-0.9751,0.0,0.0,0.0,0.0,1.0,0.903
w10s-obj-off-s61,w10s-obj-off,61,463872,0.02,0.531,-1.0,-0.9797,0.0,0.0,0.0,0.0,1.0,0.904
w10s-obj-off-s61,w10s-obj-off,61,494592,0.03,0.531,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.905
w10s-obj-off-s61,w10s-obj-off,61,525312,0.05,0.544,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.907
w10s-obj-off-s61,w10s-obj-off,61,556032,0.01,0.524,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.908
w10s-obj-off-s61,w10s-obj-off,61,586752,0.02,0.501,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.91
w10s-obj-off-s61,w10s-obj-off,61,617472,0.03,0.471,-1.0,-0.9261,0.0,0.0,0.0,0.0,1.0,0.911
w10s-obj-off-s61,w10s-obj-off,61,648192,0.01,0.472,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.912
w10s-obj-off-s61,w10s-obj-off,61,678912,0.01,0.534,-1.0,-0.9521,0.0,0.0,0.0,0.0,1.0,0.913
w10s-obj-off-s61,w10s-obj-off,61,709632,0.0,0.534,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.913
w10s-obj-off-s61,w10s-obj-off,61,740352,0.03,0.522,-1.0,-0.975,0.0,0.0,0.0,0.0,1.0,0.914
w10s-obj-off-s61,w10s-obj-off,61,771072,0.01,0.47,-1.0,-0.9579,0.0,0.0,0.0,0.0,1.0,0.915
w10s-obj-off-s61,w10s-obj-off,61,801792,0.02,0.506,-1.0,-0.9752,0.0,0.0,0.0,0.0,1.0,0.915
w10s-obj-off-s61,w10s-obj-off,61,832512,0.01,0.519,-1.0,-0.8237,0.0,0.0,0.0,0.0,1.0,0.916
w10s-obj-off-s61,w10s-obj-off,61,863232,0.02,0.524,-1.0,-0.9555,0.0,0.0,0.0,0.0,1.0,0.917
w10s-obj-off-s61,w10s-obj-off,61,893952,0.04,0.554,-1.0,-0.9309,0.0,0.0,0.0,0.0,1.0,0.918
w10s-obj-off-s61,w10s-obj-off,61,924672,0.03,0.54,-1.0,-0.9333,0.0,0.0,0.0,0.0,1.0,0.919
w10s-obj-off-s61,w10s-obj-off,61,955392,0.01,0.521,-1.0,-0.9551,0.0,0.0,0.0,0.0,1.0,0.919
w10s-obj-off-s61,w10s-obj-off,61,986112,0.0,0.527,-1.0,-0.9304,0.0,0.0,0.0,0.0,1.0,0.92
w10s-obj-off-s61,w10s-obj-off,61,1016832,0.02,0.528,-1.0,-0.9096,0.0,0.0,0.0,0.0,1.0,0.92
w10s-obj-off-s61,w10s-obj-off,61,1047552,0.0,0.522,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1078272,0.03,0.502,-1.0,-0.979,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1108992,0.03,0.591,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1139712,0.02,0.511,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1170432,0.04,0.525,-1.0,-0.9289,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1201152,0.06,0.55,-1.0,-0.9555,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1231872,0.07,0.6,-1.0,-0.9291,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1262592,0.0,0.534,-1.0,-0.8812,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1293312,0.02,0.525,-1.0,-0.925,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1324032,0.04,0.507,-1.0,-0.9538,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1354752,0.01,0.521,-1.0,-0.952,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1385472,0.0,0.488,-1.0,-0.9544,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1416192,0.02,0.571,-1.0,-0.8849,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1446912,0.03,0.506,-1.0,-0.9769,0.0,0.0,0.0,0.0,1.0,0.921
w10s-obj-off-s61,w10s-obj-off,61,1477632,0.07,0.601,-1.0,-0.9308,0.0,0.0,0.0,0.0,1.0,0.922
w10s-obj-off-s61,w10s-obj-off,61,1508352,0.04,0.554,-1.0,-0.8574,0.0,0.0,0.0,0.0,1.0,0.922
w10s-obj-off-s61,w10s-obj-off,61,1539072,0.05,0.602,-1.0,-0.8858,0.0,0.0,0.0,0.0,1.0,0.922
w10s-obj-off-s61,w10s-obj-off,61,1569792,0.06,0.562,-1.0,-0.8366,0.0,0.0,0.0,0.0,1.0,0.923
w10s-obj-off-s61,w10s-obj-off,61,1600512,0.02,0.505,-1.0,-0.9316,0.0,0.0,0.0,0.0,1.0,0.923
w10s-obj-off-s61,w10s-obj-off,61,1631232,0.01,0.502,-1.0,-0.9308,0.0,0.0,0.0,0.0,1.0,0.924
w10s-obj-off-s61,w10s-obj-off,61,1661952,0.06,0.607,-1.0,-0.8813,0.0,0.0,0.0,0.0,1.0,0.924
w10s-obj-off-s61,w10s-obj-off,61,1692672,0.05,0.552,-1.0,-0.8781,0.0,0.0,0.0,0.0,1.0,0.924
w10s-obj-off-s61,w10s-obj-off,61,1723392,0.03,0.567,-1.0,-0.928,0.0,0.0,0.0,0.0,1.0,0.924
w10s-obj-off-s61,w10s-obj-off,61,1754112,0.05,0.549,-1.0,-0.9084,0.0,0.0,0.0,0.0,1.0,0.925
w10s-obj-off-s61,w10s-obj-off,61,1784832,0.07,0.472,-1.0,-0.975,0.0,0.0,0.0,0.0,1.0,0.925
w10s-obj-off-s61,w10s-obj-off,61,1815552,0.03,0.505,-1.0,-0.8593,0.0,0.0,0.0,0.0,1.0,0.926
w10s-obj-off-s61,w10s-obj-off,61,1846272,0.03,0.557,-1.0,-0.8415,0.0,0.0,0.0,0.0,1.0,0.926
w10s-obj-off-s61,w10s-obj-off,61,1876992,0.08,0.603,-1.0,-0.902,0.0,0.0,0.0,0.0,1.0,0.926
w10s-obj-off-s61,w10s-obj-off,61,1907712,0.02,0.561,-1.0,-0.9046,0.0,0.0,0.0,0.0,1.0,0.926
w10s-obj-off-s61,w10s-obj-off,61,1938432,0.04,0.521,-1.0,-0.9323,0.0,0.0,0.0,0.0,1.0,0.927
w10s-obj-off-s61,w10s-obj-off,61,1969152,0.06,0.596,-1.0,-0.8861,0.0,0.0,0.0,0.0,1.0,0.927
w10s-obj-off-s61,w10s-obj-off,61,1999872,0.04,0.511,-1.0,-0.8761,0.0,0.0,0.0,0.0,1.0,0.927
w10s-obj-off-s61,w10s-obj-off,61,2030592,0.01,0.491,-1.0,-0.7681,0.0,0.0,0.0,0.0,1.0,0.927
w10s-obj-off-s61,w10s-obj-off,61,2061312,0.05,0.564,-1.0,-0.8397,0.0,0.0,0.0,0.0,1.0,0.927
w10s-obj-off-s61,w10s-obj-off,61,2092032,0.12,0.599,-1.0,-0.9264,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2122752,0.06,0.548,-1.0,-0.9536,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2153472,0.05,0.53,-1.0,-0.9091,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2184192,0.02,0.519,-1.0,-0.9326,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2214912,0.08,0.539,-1.0,-0.8852,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2245632,0.06,0.534,-1.0,-0.8845,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2276352,0.04,0.561,-1.0,-0.8601,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2307072,0.05,0.552,-1.0,-0.8562,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2337792,0.05,0.535,-1.0,-0.8456,0.0,0.0,0.0,0.0,1.0,0.928
w10s-obj-off-s61,w10s-obj-off,61,2368512,0.06,0.533,-1.0,-0.8546,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2399232,0.06,0.517,-1.0,-0.7908,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2429952,0.03,0.539,-1.0,-0.8845,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2460672,0.08,0.621,-1.0,-0.839,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2491392,0.09,0.571,-1.0,-0.8118,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2522112,0.05,0.565,-1.0,-0.8145,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2552832,0.09,0.581,-1.0,-0.8548,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2583552,0.05,0.553,-1.0,-0.8608,0.0,0.0,0.0,0.0,1.0,0.929
w10s-obj-off-s61,w10s-obj-off,61,2614272,0.07,0.532,-1.0,-0.7911,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2644992,0.1,0.543,-1.0,-0.8319,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2675712,0.06,0.482,-1.0,-0.806,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2706432,0.07,0.56,-1.0,-0.8157,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2737152,0.05,0.551,-1.0,-0.8548,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2767872,0.08,0.52,-1.0,-0.8349,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2798592,0.03,0.527,-1.0,-0.7987,0.0,0.0,0.0,0.0,1.0,0.93
w10s-obj-off-s61,w10s-obj-off,61,2829312,0.04,0.522,-1.0,-0.9086,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,2860032,0.08,0.576,-1.0,-0.7264,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,2890752,0.05,0.516,-1.0,-0.9085,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,2921472,0.04,0.557,-1.0,-0.836,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,2952192,0.07,0.536,-1.0,-0.8178,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,2982912,0.07,0.552,-1.0,-0.9151,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3013632,0.04,0.526,-1.0,-0.8627,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3044352,0.07,0.565,-1.0,-0.886,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3075072,0.06,0.564,-1.0,-0.7919,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3105792,0.04,0.508,-1.0,-0.784,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3136512,0.04,0.511,-1.0,-0.8399,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3167232,0.07,0.549,-1.0,-0.7415,0.0,0.0,0.0,0.0,1.0,0.931
w10s-obj-off-s61,w10s-obj-off,61,3197952,0.08,0.541,-1.0,-0.8844,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3228672,0.05,0.554,-1.0,-0.7248,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3259392,0.11,0.574,-1.0,-0.7861,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3290112,0.07,0.555,-1.0,-0.6474,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3320832,0.05,0.604,-1.0,-0.767,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3351552,0.09,0.538,-1.0,-0.7687,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3382272,0.06,0.517,-1.0,-0.8181,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3412992,0.16,0.622,-1.0,-0.8782,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3443712,0.12,0.591,-1.0,-0.7323,0.0,0.0,0.0,0.0,1.0,0.932
w10s-obj-off-s61,w10s-obj-off,61,3474432,0.03,0.491,-1.0,-0.6015,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3505152,0.12,0.602,-1.0,-0.682,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3535872,0.07,0.582,-1.0,-0.7661,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3566592,0.07,0.504,-1.0,-0.8599,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3597312,0.1,0.565,-1.0,-0.7677,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3628032,0.09,0.548,-1.0,-0.7983,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3658752,0.1,0.56,-1.0,-0.6715,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3689472,0.12,0.585,-1.0,-0.6752,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3720192,0.16,0.631,-1.0,-0.6476,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3750912,0.13,0.6,-1.0,-0.6361,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3781632,0.09,0.614,-1.0,-0.6487,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3812352,0.08,0.579,-1.0,-0.7957,0.0,0.0,0.0,0.0,1.0,0.933
w10s-obj-off-s61,w10s-obj-off,61,3843072,0.14,0.592,-1.0,-0.6943,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3873792,0.14,0.612,-1.0,-0.6553,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3904512,0.09,0.561,-1.0,-0.7466,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3935232,0.14,0.62,-1.0,-0.6342,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3965952,0.14,0.599,-1.0,-0.7219,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,3996672,0.11,0.581,-1.0,-0.8553,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,4027392,0.12,0.624,-1.0,-0.8143,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,4058112,0.1,0.573,-1.0,-0.7276,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,4088832,0.16,0.613,-1.0,-0.7441,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,4119552,0.12,0.588,-1.0,-0.6937,0.0,0.0,0.0,0.0,1.0,0.934
w10s-obj-off-s61,w10s-obj-off,61,4150272,0.08,0.556,-1.0,-0.7215,0.0,0.0,0.0,0.0,1.0,0.934
