run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,3072,0.0,0.443,-1.0,,,,,,,
w10s-obj-cur-s41,w10s-obj-cur,41,33792,0.01,0.429,-1.0,-1.0,0.0,0.0,0.0,0.0,0.955,0.93
w10s-obj-cur-s41,w10s-obj-cur,41,64512,0.02,0.491,-1.0,-0.975,0.0,0.0,0.0,0.0,0.988,0.929
w10s-obj-cur-s41,w10s-obj-cur,41,95232,0.02,0.443,-1.0,-1.0,0.0,0.0,0.0,0.0,0.993,0.93
w10s-obj-cur-s41,w10s-obj-cur,41,125952,0.01,0.474,-1.0,-1.0,0.0,0.0,0.0,0.0,0.997,0.932
w10s-obj-cur-s41,w10s-obj-cur,41,156672,0.03,0.532,-1.0,-0.881,0.0,0.0,0.0,0.0,1.0,0.935
w10s-obj-cur-s41,w10s-obj-cur,41,187392,0.0,0.509,-1.0,-0.9751,0.0,0.0,0.0,0.0,1.0,0.939
w10s-obj-cur-s41,w10s-obj-cur,41,218112,0.05,0.579,-1.0,-0.9008,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,248832,0.02,0.511,-1.0,-0.9291,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,279552,0.04,0.525,-1.0,-0.8373,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,310272,0.08,0.615,-1.0,-0.9768,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,340992,0.03,0.535,-1.0,-0.8353,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,371712,0.05,0.592,-1.0,-0.8373,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,402432,0.06,0.568,-1.0,-0.8287,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,433152,0.04,0.57,-1.0,-0.903,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,463872,0.06,0.586,-1.0,-0.9078,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,494592,0.06,0.573,-1.0,-0.925,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,525312,0.04,0.573,-1.0,-0.8808,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,556032,0.05,0.567,-1.0,-0.9031,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,586752,0.06,0.565,-1.0,-0.8034,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,617472,0.02,0.571,-1.0,-0.8758,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,648192,0.08,0.629,-1.0,-0.8414,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,678912,0.09,0.635,-1.0,-0.8531,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,709632,0.07,0.59,-1.0,-0.8566,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,740352,0.06,0.618,-1.0,-0.8813,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,771072,0.11,0.618,-1.0,-0.8044,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,801792,0.08,0.622,-1.0,-0.8076,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,832512,0.05,0.574,-1.0,-0.8157,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,863232,0.07,0.655,-1.0,-0.8882,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,893952,0.07,0.654,-1.0,-0.7574,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,924672,0.09,0.653,-1.0,-0.6917,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,955392,0.06,0.631,-1.0,-0.8155,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,986112,0.08,0.644,-1.0,-0.8085,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1016832,0.07,0.612,-1.0,-0.7588,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1047552,0.07,0.643,-1.0,-0.7647,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1078272,0.08,0.614,-1.0,-0.8268,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1108992,0.11,0.683,-1.0,-0.6376,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1139712,0.1,0.612,-1.0,-0.7777,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1170432,0.04,0.565,-1.0,-0.6447,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1201152,0.07,0.596,-1.0,-0.6879,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1231872,0.04,0.57,-1.0,-0.7385,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1262592,0.07,0.648,-1.0,-0.5856,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1293312,0.07,0.658,-1.0,-0.773,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1324032,0.12,0.644,-1.0,-0.7168,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1354752,0.15,0.676,-1.0,-0.7338,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1385472,0.09,0.61,-1.0,-0.4597,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1416192,0.08,0.618,-1.0,-0.7072,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1446912,0.11,0.661,-1.0,-0.6553,0.0,0.0,0.0,0.0,1.0,0.948
