run,arm,seed,step,train_win_rate,difficulty
sw2-control,sw2-control,27,3072,0.01,-1.0
sw2-control,sw2-control,27,33792,0.0,-1.0
sw2-control,sw2-control,27,64512,0.0,-1.0
sw2-control,sw2-control,27,95232,0.02,-1.0
sw2-control,sw2-control,27,125952,0.0,-1.0
sw2-control,sw2-control,27,156672,0.05,-1.0
sw2-control,sw2-control,27,187392,0.07,-1.0
sw2-control,sw2-control,27,218112,0.03,-1.0
sw2-control,sw2-control,27,248832,0.06,-1.0
sw2-control,sw2-control,27,279552,0.02,-1.0
sw2-control,sw2-control,27,310272,0.05,-1.0
sw2-control,sw2-control,27,340992,0.03,-1.0
sw2-control,sw2-control,27,371712,0.07,-1.0
sw2-control,sw2-control,27,402432,0.02,-1.0
sw2-control,sw2-control,27,433152,0.07,-1.0
sw2-control,sw2-control,27,463872,0.04,-1.0
sw2-control,sw2-control,27,494592,0.06,-1.0
sw2-control,sw2-control,27,525312,0.02,-1.0
sw2-control,sw2-control,27,556032,0.07,-1.0
sw2-control,sw2-control,27,586752,0.05,-1.0
sw2-control,sw2-control,27,617472,0.03,-1.0
sw2-control,sw2-control,27,648192,0.06,-1.0
sw2-control,sw2-control,27,678912,0.09,-1.0
sw2-control,sw2-control,27,709632,0.08,-1.0
sw2-control,sw2-control,27,740352,0.1,-1.0
sw2-control,sw2-control,27,771072,0.09,-1.0
sw2-control,sw2-control,27,801792,0.15,-1.0
sw2-control,sw2-control,27,832512,0.13,-1.0
sw2-control,sw2-control,27,863232,0.09,-1.0
sw2-control,sw2-control,27,893952,0.13,-1.0
sw2-control,sw2-control,27,924672,0.07,-1.0
sw2-control,sw2-control,27,955392,0.11,-1.0
sw2-control,sw2-control,27,986112,0.07,-1.0
sw2-control,sw2-control,27,1016832,0.13,-1.0
sw2-control,sw2-control,27,1047552,0.15,-1.0
sw2-control,sw2-control,27,1078272,0.09,-1.0
sw2-control,sw2-control,27,1108992,0.12,-1.0
sw2-control,sw2-control,27,1139712,0.09,-1.0
sw2-control,sw2-control,27,1170432,0.17,-1.0
sw2-control,sw2-control,27,1201152,0.2,-1.0
sw2-control,sw2-control,27,1231872,0.15,-1.0
sw2-control,sw2-control,27,1262592,0.12,-1.0
sw2-control,sw2-control,27,1293312,0.15,-1.0
sw2-control,sw2-control,27,1324032,0.16,-1.0
sw2-control,sw2-control,27,1354752,0.14,-1.0
sw2-control,sw2-control,27,1385472,0.14,-1.0
sw2-control,sw2-control,27,1416192,0.09,-1.0
sw2-control,sw2-control,27,1446912,0.17,-1.0
sw2-control,sw2-control,27,1477632,0.16,-1.0
sw2-control,sw2-control,27,1508352,0.24,-1.0
sw2-control,sw2-control,27,1539072,0.15,-1.0
sw2-control,sw2-control,27,1569792,0.28,-1.0
sw2-control,sw2-control,27,1600512,0.16,-1.0
sw2-control,sw2-control,27,1631232,0.2,-1.0
